plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8444-12703	1	1	1-422040	201.4111053	33.68043282	0.0389689	201.4111126	33.68042872	0.0389729	4.3	22.179	-21.11477	10.3562949	0	0	L10	1	10.082237
8445-12701	1	1	1-591917	203.9581895	34.99894875	0.025054	203.9582122	34.99896428	0.0249951	3.5	21.696	-20.617548	10.31515082	0	0	L10	1	12.38283
8447-12702	1	1	1-627377	206.705802	39.08370854	0.0614411	206.7057157	39.08369956	0.0614132	3.5	22.496	-20.70433	9.927013166	0	0	L10	1	6.6270003
8447-3702	1	1	1-405213	207.3900128	38.71446575	0.108592	207.3899777	38.71446476	0.1085648	3.5	23.015	-22.128572	11.09789626	1	0	L10	1	5.018391
8447-6103	1	1	1-260541	206.1730368	40.46729992	0.075388	206.1730608	40.46730125	0.0754022	101.3	24.143	-22.066706	11.07970654	1	1	L10	1	6.0021915
8449-1901	1	1	1-488532	167.4216604	21.74037531	0.0322203	167.421645	21.74038	0.03222	6.2	22.1684	-20.004017	10.19621149	1	0	B12	1	2.4440134
8450-3701	1	1	1-489644	171.7254501	21.29525203	0.13552	171.725445	21.29524	0.13552	29	24.1395	-21.954844	11.02227871	1	1	B12	1	4.3956428
8452-1902	1	1	1-148046	157.7793027	48.01483039	0.058703	157.7792971	48.01483385	0.0586903	3.3	22.43	-20.761923	10.17478837	0	0	L10	1	4.1009293
8452-3702	1	1	1-148127	156.2980164	47.73907941	0.0621072	156.2979886	47.73909514	0.0620863	5.1	22.67	-21.392977	10.80032582	1	0	L10	1	4.7209115
8454-12702	1	1	1-167242	153.0490211	45.14215792	0.0764318	153.0489708	45.14217228	0.0764357	5.1	22.858	-21.290285	10.32284631	0	0	L10	1	4.485839
8455-12703	1	1	1-255090	157.7232675	41.2210951	0.092116	157.7232765	41.22112274	0.0921193	50.8	24.026	-22.05559	11.05809616	1	1	L10	1	8.884529
8459-3702	1	1	1-166919	146.7091001	43.42384296	0.0722105	146.7090814	43.42384958	0.072218	5.7	22.855	-21.557062	10.7808089	0	0	L10	1	4.0408893
8464-6101	1	1	1-258599	186.1809966	44.41077116	0.125582	186.1809499	44.41078167	0.1255854	7.4	23.475	-21.887552	10.89087032	0	0	L10	1	3.3570237
