plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
1023 1 [0.08450514328561064] "[0.08450514328561064, 3504.6593498652983, 5432.479192873994, 6538.536156755086, 7397.961567576569, 7598.451541184053, 7660.086853744538]" "[549.670054987912, 192.64250888285503, 485.17181659418804, 175.4078362326966, 366.63318549725875, 276.63585133186444, 1.5288410118268516]"
1056 1 [0.09419314549207015] "[0.09419314549207015, 2987.6255108457317, 3158.8783494551953, 3284.6418541428934, 3731.831002941147, 3815.008919511238, 3910.698295141884]" "[inf, 706.0038133219289, -343.9509389644903, 805.1947598030375, 628.4299173732506, 581.9034488270091, 559.2946675199972]"
1069 3 "[122.24321275203648, 0.031643464864220594, 261.24094304798876]" "[0.031643464864220594, 122.24321275203648, 261.24094304798876, 642.3625982363916, 652.330524606615, 745.7447252961603, 905.4301009703323]" "[180.01416055092622, 7.814853488806989, 15.809566044934448, -5.202373081792864e-05, -237.43246104902738, -5.462947388443742, -140.40422475370357]"
1097 1 [0.27732652118084644] "[0.27732652118084644, 879.7128529838366, 1703.7141701813114, 2118.8716331842975, 2357.971699091566, 2581.9324479646225, 3377.6557906960697]" "[21.191298639656708, -63.31354459173817, -625.6494636859877, 0.0008710305259692271, 74.6018082833306, 178.22873971560756, 69.00433683940928]"
1103 3 "[170.13618019905903, 0.1638296720362106, 195.94868902466777]" "[0.1638296720362106, 170.13618019905903, 195.94868902466777, 316.12863997261, 356.65011021372743, 1162.6747658063075, 1381.5024582210842]" "[582.8420127110568, 88.09343935568008, -0.0008438638958012643, 144.03464937683316, 602.547077786186, -27.322579978040125, -277.68546074669683]"
1126 2 "[214.6293671476417, 0.33339161357168073]" "[0.33339161357168073, 214.6293671476417, 1124.1170172520895, 3720.866426433979, 4478.149315214648, 4943.039427439144, 6591.853233931948]" "[-283.6844254065908, -0.00028406314620864614, 535.1903555187426, 292.4262767661356, 384.53215564145074, 278.3990937382721, 556.0435053194009]"
1135 2 "[194.3639886064537, 0.11804186822028757]" "[0.11804186822028757, 194.3639886064537, 322.4616787603291, 504.587906562587, 511.77608493883946, 963.2424278415572, 1247.5207556037076]" "[815.2830970967766, 320.5345237413999, 232.440240521824, 376.475733762553, 834.9881621719059, 205.11850440767967, -45.24437636097704]"
1167 1 [0.13828843582815742] "[0.13828843582815742, 707.0589698416239, 2274.854450087646, 2637.5637637994587, 7870.573116895934, 10663.758945311254, 10794.079599393865]" "[726.607635793156, 166.60139056802447, 44.39960976318177, 529.9233000126546, 26.678006237215367, 424.777501628316, -0.0004450501734344995]"
1170 2 "[280.53261707714256, 0.06371613969061231]" "[0.06371613969061231, 280.53261707714256, 1719.6663213959978, 3206.228357694682, 3537.848275037461, 3800.9362808835926, 4188.235782525072]" "[inf, -110.56418585111228, 887.5033909994361, 0.0003937474933466974, -877.0425241860601, 851.3052177272137, -887.0625788139256]"
1194 2 "[0.344738101015235, 277.6103848583045]" "[0.344738101015235, 277.6103848583045, 1431.1538706377867, 3228.038128780181, 4830.052608518791, 4985.117893271843, 5167.54986308426]" "[672.5268743195974, 889.8432307415598, 276.004320205196, -408.7969477826364, -887.289177495212, 367.708146063789, -880.5458549536324]"
1199 4 "[0.15255581405224455, 153.2121860037833, 129.12403740331888, 213.00083336022905]" "[0.15255581405224455, 129.12403740331888, 153.2121860037833, 213.00083336022905, 317.2386552655478, 413.24032882258837, 490.15264666242507]" "[7.972271838921924e-05, 215.17662064457036, 3.9558346816907237, 303.9968329221169, -250.89217085128922, -780.8806911223669, -18.371509513615575]"
1202 1 [0.2185780000192848] "[0.2185780000192848, 747.0476897757649, 843.8955177785842, 981.5159010694686, 1467.761099831572, 1528.253822647239, 1725.051947825652]" "[3.8847543408107916e-05, 255.8822140846477, 432.5532441438661, 316.5944532375709, 475.1775648000316, 422.48851695858696, 388.31624416507043]"
