plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
135138 1 [267.0499917305134] "[267.0499917305134, 788.4903966595622, 928.2477256465764, 1514.697705045325, 1636.3629717851793, 1701.8164577129435, 1712.5137249529157]" "[-351.6020514834228, 242.92267885518038, 417.7174615030285, 111.44017424766683, -709.8223548714224, -191.72120212809776, 46.39022976988519]"
135208 1 [0.2665940358450791] "[0.2665940358450791, 482.4024990719021, 719.3687156484825, 1006.8431973201137, 1335.2289794165354, 4987.8481720090385, 5866.875331788462]" "[-52.672498513013174, 37.6241417870521, -23.081396482259084, -100.59051722268765, 0.0009139333366837979, -922.853711627841, -258.0635157334209]"
135580 6 "[142.87390495070494, 262.7763784546751, 101.34814302723362, 43.81863414488822, 179.633184965767, 196.70920297552948]" "[43.81863414488822, 101.34814302723362, 142.87390495070494, 179.633184965767, 196.70920297552948, 262.7763784546751, 342.92076622481665]" "[-2.5172933198815284, 46.889438365600434, 183.72706579306663, -523.0609181397936, -35.465538040266004, -641.873168650881, -601.6611660950488]"
135995 0 [] "[799.2219298816366, 2797.5741346172354, 4685.361503244969, 4852.666231338116, 5149.321062430777, 5228.613731400809, 5361.652821779619]" "[-924.2020995980168, -644.5451893054063, -94.11674038974601, 210.10560922459106, -478.9641216241087, -926.7484353705909, -561.8160802312012]"
136053 17 "[98.96938340467416, 37.72795258748685, 51.01633240004813, 31.631902468496808, 113.90485991413107, 133.68563452954012, 106.65504164914759, 288.96654555953944, 252.83052269976577, 197.13314778217938, 276.7645503115198, 245.76011767068732, 277.3140204320836, 288.46753569828644, 252.36513356655615, 196.62809894333267, 173.55010792026067]" "[31.631902468496808, 37.72795258748685, 51.01633240004813, 98.96938340467416, 106.65504164914759, 113.90485991413107, 133.68563452954012]" "[-96.85053094703346, -471.2836222343558, -852.1529122310394, -354.76139869768184, -172.7480891787672, 26.918139809090484, 171.46066657646355]"
136672 1 [31.21932270032883] "[31.21932270032883, 536.4174117984192, 689.5944827691877, 740.9706836886025, 1022.4875166114803, 1411.5565395953852, 1437.0631101745605]" "[-245.55007481039752, 435.31777449716935, 356.1356664816023, -110.89581862651993, 422.62183368023045, 523.740401013735, -0.0006621030538236381]"
137022 2 "[26.194793195984445, 236.40967608461472]" "[26.194793195984445, 236.40967608461472, 1133.9894959032747, 2132.454800313682, 2348.9176273934518, 2400.6597635827325, 2673.9450571148195]" "[144.37671196643808, 387.81087908024887, -170.92219825859564, 265.9888150134216, 157.41216421972015, 83.30485872633557, 221.0660912783275]"
138714 2 "[0.05534158355140715, 292.0681558096373]" "[0.05534158355140715, 292.0681558096373, 347.86878675202445, 366.50237952139946, 378.7899021906591, 521.1661688186383, 612.6492102980512]" "[-955.9602475013934, -987.6464924748442, -893.1193609877131, 771.3041848946012, -391.9826119221948, -527.4387405116461, 0.0012103589870166597]"
139043 2 "[219.19464483521386, 101.69667536326102]" "[101.69667536326102, 219.19464483521386, 377.92080912293295, 417.6503804550605, 514.6147175800385, 719.5778577383436, 735.0687752988157]" "[-194.76210291599287, -488.0285078246499, 524.5420147902165, -7.2535104282404435, -774.2009106160308, -603.0469413973893, 540.3561001146231]"
139634 0 [] "[398.57898286439763, 707.4748553468214, 878.7861896084733, 970.6614902272287, 1146.1540248736708, 1305.0214327436631, 1482.1087827229646]" "[957.1862440718422, -619.2323637057234, -570.604051333173, -284.69298300266155, -504.87508398270495, -379.3407303948093, -496.71340774324426]"
140176 2 "[0.22007853683085873, 32.0226711557869]" "[0.22007853683085873, 32.0226711557869, 550.0643892660423, 887.9215819608397, 1029.7374483877275, 1131.6760371795945, 1553.4643611290685]" "[-447.60102520252497, -675.757177680892, -726.1522896991494, 71.06970264782277, 0.00013105856147274198, 168.33079464866486, 195.2683467690524]"
140185 1 [0.0436626743808498] "[0.0436626743808498, 559.0695701710399, 956.0290991648544, 1545.0996420472832, 2028.0787475923682, 3611.6216550549625, 3660.753340727224]" "[-7.787321826553483, -23.97665663323416, -0.0008950693668318574, 115.20739687238023, -40.16375781204416, 254.06087345313415, -961.4258067014277]"
140714 1 [10.805239442342142] "[10.805239442342142, 1709.8052668921773, 2378.8039188321136, 2746.99044189843, 2952.8384317562463, 4190.126790759191, 7062.119654195331]" "[0.001299927108615661, -375.3509292289981, 171.11059658833653, -232.0056270003089, 326.6872450368634, -430.19096070990645, -38.770012652135755]"
140785 2 "[140.36476271531092, 0.5796098781115246]" "[0.5796098781115246, 140.36476271531092, 451.64372564956795, 1585.5231401632743, 2157.1006403473034, 2716.606298147298, 2893.9553601810476]" "[-0.0003870573342921738, -468.1062471712531, 154.5666615936457, 568.9493041619955, 187.8834549126922, -626.1756243234576, -421.5306388118566]"
140934 1 [0.5378702065307992] "[0.5378702065307992, 1038.2359812474854, 1069.7314431415778, 1132.224293273242, 1800.8177585087637, 2378.927580314779, 3251.4543212125136]" "[-293.270843592258, 581.0716182456446, 131.55177564364502, 2.8572140416653623e-05, 346.0291910419745, -262.475816139208, -539.4680083820986]"
141985 2 "[294.2135716616923, 0.21418802280337573]" "[0.21418802280337573, 294.2135716616923, 324.36178338654355, 453.5974307565853, 543.6836361674901, 1151.2777915605432, 1412.4886837256195]" "[467.4212106661559, 11.175914545542097, 502.11838600928195, -332.54814396175135, -506.46734448429333, -0.0011593193351251256, -207.4828522266983]"
142403 1 [0.3027078259135822] "[0.3027078259135822, 341.2631966633076, 385.8037700011238, 3178.9706573259623, 4101.581128925979, 4282.801707703389, 4472.789277825394]" "[-663.507902340991, 149.6398567239218, 0.00019115565946886174, 18.820739593999892, -679.2103062718636, -128.96948209734032, 81.99220303254059]"
142623 1 [0.03148687480195667] "[0.03148687480195667, 506.85043284719796, 679.1526262941794, 987.2395517757257, 1542.3090567503898, 2320.956491509294, 2332.7582859806953]" "[-350.21701885427285, 0.00019587308416886567, 961.0721943015778, -295.43282807013145, 121.87363338093708, -0.4912022584651895, -615.3910860334014]"
142699 3 "[295.2752975629283, 136.2016246426864, 0.625338259939393]" "[0.625338259939393, 136.2016246426864, 295.2752975629283, 334.7850336991362, 379.9456982731658, 410.3594935850164, 791.0540073435616]" "[695.003836821986, 567.2269208519289, 602.1787297723123, 974.3279365618654, -0.0006432791075595576, 378.6685232649573, -254.2880082165471]"
142808 5 "[143.88376307702728, 53.70523787012253, 0.15274006454113495, 52.196508589073986, 206.01409092853942]" "[0.15274006454113495, 52.196508589073986, 53.70523787012253, 143.88376307702728, 206.01409092853942, 765.6733807736291, 1022.2973880930219]" "[365.92484617370917, 318.35974066760195, 228.3892100366558, 385.89124570970785, 106.33708229914859, 0.0007602597381226694, 399.1053881926442]"
143357 4 "[174.51937952918706, 233.66283865240828, 0.11640955298410058, 273.00972399875]" "[0.11640955298410058, 174.51937952918706, 233.66283865240828, 273.00972399875, 330.68602201262644, 357.9851201679271, 412.3641197231265]" "[163.381823784874, -425.28633427680916, 0.0008795561950541137, -705.5418568387616, -974.8593037179995, -294.8826719308335, 22.162935289071115]"
143398 1 [97.1770214482936] "[97.1770214482936, 954.1484834611551, 1110.499403367078, 1647.0697084265128, 1762.1222976627314, 2074.610543651637, 2324.6150426225367]" "[24.266273314504417, 19.7052052025781, 66.38356044402579, -198.52470501849194, 143.02379994276026, -148.95603531238575, 608.6056605628119]"
143401 6 "[128.82067499359897, 251.74215563252295, 246.467924040902, 0.14008013850286258, 172.2175094052165, 96.55116340455042]" "[0.14008013850286258, 96.55116340455042, 128.82067499359897, 172.2175094052165, 246.467924040902, 251.74215563252295, 326.692317023476]" "[0.0010537062647286814, -862.6863379024354, 334.0244663711997, -254.7866438742069, -74.97960028455532, -542.4466428274599, 614.2799889331521]"
143462 1 [27.91264573671802] "[27.91264573671802, 3053.8039422189813, 4001.0264499859372, 4049.4143175349827, 4492.03954485265, 5128.535635804749, 5295.699188955254]" "[-471.1704912776605, -134.66775167627196, -298.31449762156166, 788.7028419230326, -763.6372574086146, 7.165384483967612, -369.5024514879689]"
144100 2 "[159.78327601347573, 0.13872519245423767]" "[0.13872519245423767, 159.78327601347573, 380.4937065145918, 503.81209487126483, 520.7800059687357, 573.8200684161774, 636.020591963174]" "[194.74386532798448, -68.99397913029749, 0.00055216710310182, -56.13945073454041, 132.46808666558604, 31.601919281468202, 5.115559990957786]"
144702 2 "[215.53114467868807, 1.0542910681450117]" "[1.0542910681450117, 215.53114467868807, 1603.2295695436524, 1877.1166308841775, 1924.8348904074437, 2176.581407503773, 3073.1566848436955]" "[687.336131830505, 990.7566090392683, 582.1903334461663, -63.368326481708436, -609.4367337938036, 183.2643957429145, -0.00030379054800022876]"
144785 2 "[192.54928190467677, 0.11834869621547758]" "[0.11834869621547758, 192.54928190467677, 384.1385936563742, 430.4159338194931, 514.5024584946891, 677.6594202808094, 700.3084135923006]" "[275.79036136285293, -517.5138476989484, -512.7986592639453, -149.79839223269292, 12.177600065328997, 378.07934970059324, -0.00013908561237319382]"
144923 4 "[213.99369736379978, 69.62608261369893, 38.83291411554079, 158.5444008738424]" "[38.83291411554079, 69.62608261369893, 158.5444008738424, 213.99369736379978, 350.9965778393956, 356.66217184516466, 367.1638319192269]" "[956.4534990137256, 205.07001782882577, 273.9327650818563, 45.79448162645467, -57.41922864974669, -120.83639115406207, 716.8745736047066]"
144950 2 "[23.652025861901254, 117.17218485584146]" "[23.652025861901254, 117.17218485584146, 454.1237163173117, 589.5424112644755, 1366.1369884946514, 1772.1442262618752, 2169.882183337236]" "[-114.43679667508331, -69.21476680531828, -257.7418936021003, -93.11905227732389, 71.27819263251395, -208.47476365853575, 0.0008936512795243204]"
145111 1 [95.2311053462503] "[95.2311053462503, 1152.8928756862708, 1410.133782118639, 1805.9017489018775, 2263.6020231158136, 2421.634027816561, 2560.1513745208717]" "[168.9279691792778, 66.10067652470389, 231.75098666999259, 170.92483249566473, 218.03316110221812, 202.8880473250798, 88.07399070250759]"
145116 1 [0.11093851442099102] "[0.11093851442099102, 899.0900136735419, 1003.5921952247916, 1238.0481008440865, 1816.7596545448052, 1936.0623378574305, 2030.9073908061973]" "[161.33123108398652, 322.2708200500134, 848.7346755411598, 0.0007572405908079596, -149.2078181486305, 395.7259062051598, 197.69469281863903]"
145337 1 [0.11525762044053786] "[0.11525762044053786, 4517.822527280693, 4955.720461007429, 5092.212015773674, 5309.15079138309, 5350.707868860502, 5447.179112446751]" "[0.0013358138218224722, -71.80533297276351, -84.2868455141172, -35.45527300533506, 411.9091187014594, 368.01386378687766, 410.98439676299836]"
145382 1 [0.23760172628764054] "[0.23760172628764054, 1098.0251218948813, 1275.3155605101351, 3754.5698085170307, 4121.013890287319, 4134.624428406664, 4209.825209525469]" "[699.8950415431735, 43.62390234752273, 552.3147808716772, 86.43361411695456, 934.3053520594415, 563.9430475664315, 230.62322768076038]"
145404 1 [56.79917757862276] "[56.79917757862276, 1169.2853734488278, 1321.2455504955417, 3767.4069866172413, 4248.999456672148, 4261.351090985345, 4301.006717935663]" "[-242.5369588390644, -602.6469114056582, 362.40541188838523, -269.32709151998716, 101.03521297302288, -280.9553582147415, -133.37509754324512]"
145855 12 "[137.3498327251451, 278.9102047056906, 4.442439426403613, 246.17991193426698, 198.1464281274954, 275.0942052763633, 182.80460972887093, 189.33020779731996, 214.6680516236247, 298.29749992222537, 278.9987090491166, 239.17944675074654]" "[4.442439426403613, 137.3498327251451, 182.80460972887093, 189.33020779731996, 198.1464281274954, 214.6680516236247, 239.17944675074654]" "[-14.027821079211293, 4.69612295372227, -36.85940676632335, -323.30989622760376, 39.951146857550384, -103.48517570686897, 204.16188384018653]"
145870 1 [1.0736711081239292] "[1.0736711081239292, 356.0903091250258, 1095.2477702626095, 1096.6810704688203, 1180.458563692195, 1278.9730478353763, 1475.3416497538492]" "[193.15795841625402, 180.06889909407565, 0.0005210435546495796, 98.77601274071704, 39.676452910423976, -265.4773195259862, 719.2934706104106]"
146280 1 [0.0386166571962486] "[0.0386166571962486, 1276.5763115328045, 3769.9869531794707, 4029.0603922822984, 4041.6230209733003, 4103.226443768313, 4555.329755408873]" "[796.9103862290236, 0.001101783946453942, 508.6919803081008, 375.01381950370995, 520.3202470028552, 890.6825514958653, 656.2722409795972]"
146305 1 [62.018398616367186] "[62.018398616367186, 450.259823777221, 497.2860017568268, 611.8643001032882, 705.7301571910565, 741.3737857358503, 982.0761668226887]" "[-672.1959740826422, -129.50481211101365, -153.10309056473625, 534.3003538924371, -225.18449557941506, 539.8285828723674, 89.34381303023446]"
147940 1 [0.14720557733175993] "[0.14720557733175993, 474.6612440202788, 488.90529205180115, 774.3032058021033, 866.6060422424288, 1559.2566698348678, 1699.282856362143]" "[-272.53056758246646, -424.2341053032361, -450.626652223178, 555.0776983172215, -347.46878264374357, -0.0011638251923105913, -662.5756008718989]"
148327 5 "[141.49349029440958, 0.23519329845090897, 17.804328318252338, 190.64897995343085, 154.99399513607628]" "[0.23519329845090897, 17.804328318252338, 141.49349029440958, 154.99399513607628, 190.64897995343085, 441.25239349196255, 543.7795880645123]" "[-517.8544251423027, 539.8152778094415, 0.0010285352472634338, 805.0094476394061, 815.5164331430797, -530.7647942348267, -192.76999121582466]"
148827 1 [0.12263847995798037] "[0.12263847995798037, 423.50417454087375, 856.8563760657825, 899.9447760575438, 1035.8786059634992, 1522.7496558565815, 1566.81502933644]" "[-467.92754863893424, -365.4621036994103, -560.8956078723315, -792.2458482057694, 200.78043054065665, -0.00037875466981569534, -441.8030370634738]"
149163 1 [0.008918241936911517] "[0.008918241936911517, 634.4703195832934, 808.9350593686739, 1026.1049108972397, 1131.4652188962675, 1215.6689810932728, 1350.5426364414188]" "[-9.690442445146582e-05, 241.10216271239753, 203.84524982947346, 94.80623806654152, 377.39366812548275, 61.210241263660166, 402.5934577624821]"
149297 3 "[168.41033874915345, 0.19889824178415727, 284.00105678988115]" "[0.19889824178415727, 168.41033874915345, 284.00105678988115, 558.1607329528866, 1221.9388674973948, 1368.5302152728977, 1607.41631471897]" "[-150.45049690612694, 864.9142941749587, -2.4420808178414382e-05, 17.73944812812366, -286.05404493504307, 98.54763723354496, 126.41214492026425]"
149411 2 "[235.62434595238335, 0.23004876969785137]" "[0.23004876969785137, 235.62434595238335, 1643.1577770323313, 3067.874294397821, 3405.0495108076834, 3459.841472829462, 3727.77147237531]" "[746.2684286570357, -187.07531338485018, 781.0102765575753, -454.69967033811344, -119.37405262457268, -8.697791632433105, -4.4704009463324477e-05]"
150984 1 [0.5654146121317725] "[0.5654146121317725, 553.9110530908627, 742.9871877570157, 1042.0061512585544, 2165.8844569420953, 2300.547590838464, 2374.821183866474]" "[-494.0661234728359, 454.82143492110436, 825.9052012163437, 591.5730676755494, -0.0010402458869625457, 600.7197738059796, 865.3756393191105]"
151014 1 [28.83264406744968] "[28.83264406744968, 1196.1193793468196, 1901.4923316602976, 1979.186090483208, 1982.1092653567061, 2006.9482308104298, 2100.3396448161698]" "[-89.36081862315325, -226.47876634838966, 39.73170416273386, -3.3147721609899277, 713.7579513024112, 12.479210512580586, 25.215356631191682]"
152138 2 "[17.935482126881762, 0.23717362731621078]" "[0.23717362731621078, 17.935482126881762, 479.1242155392653, 1505.4331359239468, 2818.167804546202, 2942.536230604658, 3079.329026990619]" "[0.0005135071172159906, 694.9223493769957, 38.76289157487887, -520.8547024007545, 45.55312030174274, 529.8036426649286, 839.5140159575237]"
153137 1 [64.76326512487974] "[64.76326512487974, 1321.2856383492926, 1365.7226423348984, 1499.914001116558, 1566.8032475541893, 1674.2454038526978, 2335.3619783383774]" "[-772.2588273329461, -738.6974517620603, -243.39493869475518, -605.1008183749491, -141.672175022232, 150.58574690281353, 470.16205450019737]"
153264 1 [37.38308897906294] "[37.38308897906294, 770.8137618244814, 1130.5230745927242, 1916.9814388851755, 1917.4868963671925, 1957.896366640527, 2219.4919033494934]" "[-482.71580320902785, -765.5087270320715, -392.70506727640947, -780.3511842327329, -613.7024424292507, -676.4249466657849, 660.8190223473546]"
153845 2 "[0.22747223123672525, 137.6235038091561]" "[0.22747223123672525, 137.6235038091561, 382.5908781170658, 465.7065185924459, 974.0269087918876, 1007.2778486640096, 1134.2446443817632]" "[442.81316339394357, 385.9628668294242, 102.2876599974623, 703.660693387567, 718.3088249634793, 0.0009052875926748751, 582.8258928395799]"
154273 1 [21.208577856795866] "[21.208577856795866, 509.03138397493495, 515.1182804661861, 639.8814160481814, 891.6311993581986, 892.7169446846848, 924.3377582087439]" "[39.3410204362416, 611.5451074631505, 508.23981844425134, 0.00013274997410544045, 238.34609557437832, 994.9227615586066, 1.3179731936746573]"
155011 2 "[0.09545353761308417, 36.707739918452425]" "[0.09545353761308417, 36.707739918452425, 302.08509708016237, 342.079451626431, 407.6274368467425, 447.20452771840644, 591.4471886048239]" "[-67.94408231295374, -0.12890653127160664, -265.98869746669857, 0.0006438852277696384, 76.79500370703909, -215.69409870262172, 219.77175733706625]"
155074 1 [0.1565866825142739] "[0.1565866825142739, 871.5580851329364, 1037.6912693261359, 2119.4865882069844, 2137.1336707038477, 2300.2553669870977, 3347.064413867485]" "[-192.42702627201072, 656.1952106350243, 920.3217063428044, -781.3185471207618, 691.0487399290979, -181.39290459085694, 1.4786976643626715e-05]"
155426 2 "[152.57188719129067, 0.7953832832402561]" "[0.7953832832402561, 152.57188719129067, 482.7132978236632, 757.8350244228416, 893.2806349251236, 1165.9272436741403, 1170.3670238804452]" "[499.90783979286226, 471.6524472287741, -0.0004139437827032919, 614.144503610864, -732.960932451323, 750.4940833485869, -91.2798505069467]"
155761 2 "[164.07746157497274, 0.07581974051654208]" "[0.07581974051654208, 164.07746157497274, 909.9101334874466, 1230.1637946382104, 1299.9247256929264, 1334.4905748533924, 1562.0530711739025]" "[207.91271381863743, 134.22756399281116, -108.57336961966215, -33.3380820515847, 253.85843911850245, -69.35979872202334, 160.33644017317684]"
155791 6 "[19.911199660614823, 203.40960320898446, 94.43701747503542, 236.5990178991665, 162.98102222149151, 294.21218070279355]" "[19.911199660614823, 94.43701747503542, 162.98102222149151, 203.40960320898446, 236.5990178991665, 294.21218070279355, 348.3265774054751]" "[482.76074926256166, 58.492069738587006, -106.55516088161839, 596.0324858404301, 135.83143476084396, -407.02278204534423, 216.88755655991062]"
155944 5 "[200.4848791706458, 161.63171416260147, 107.41970233393663, 0.041868865111541836, 26.795034088165668]" "[0.041868865111541836, 26.795034088165668, 107.41970233393663, 161.63171416260147, 200.4848791706458, 336.1488891606674, 407.8828184849059]" "[126.37347522124027, -651.996697897202, 392.6487209406135, 156.40236831464742, -0.0007224460306159055, 672.4731533235249, -208.00508427513265]"
155955 5 "[165.0285532549666, 131.99285416916405, 26.25271812656573, 52.55148962406918, 0.11812129074802857]" "[0.11812129074802857, 26.25271812656573, 52.55148962406918, 131.99285416916405, 165.0285532549666, 377.09254484952197, 635.1646630001662]" "[542.8551060316661, 438.9288684647181, -299.8256807393632, 98.8634924095967, 729.9035711780587, 750.8594678607681, -671.496891164591]"
156253 2 "[149.43205137481365, 1.0427026599076001]" "[1.0427026599076001, 149.43205137481365, 1140.3282248678895, 1311.327122233447, 1945.0379753403067, 2218.649749936813, 2992.9589510535275]" "[56.80149704617882, 92.83884911171222, 28.765000013417243, -207.4188110321698, -498.4962606275615, 379.57412612650415, -78.61889349734163]"
156763 1 [0.12087129449828118] "[0.12087129449828118, 3285.0376953852824, 3384.6802212827183, 4504.087656698575, 5683.927190834276, 5877.41227921209, 6116.078999978379]" "[-21.956421446776236, 0.00014052199736674006, 150.3277634744288, -761.3118165480702, -482.4902830790935, -409.14017743386904, -2.8924075705318106]"
156925 4 "[291.03721095555534, 155.9301689910091, 13.888338666184907, 182.7537120417923]" "[13.888338666184907, 155.9301689910091, 182.7537120417923, 291.03721095555534, 424.0526063808819, 438.4323932297965, 452.6409092174909]" "[758.4104865369367, 55.44088944900213, -258.9265979539585, 160.18016756087718, -159.00078790339649, 6.35021610722123, -653.8119028391523]"
157702 1 [1.1366830942127855] "[1.1366830942127855, 327.7338760181565, 462.10882082151255, 680.4620621244725, 716.7754355379591, 769.6162763966529, 1485.3854545644729]" "[inf, -265.537519143608, -51.185186906036506, 555.253714494768, -676.6635322765079, 6.6747094560297615, 0.0006293784412037687]"
157736 1 [0.5931332510921279] "[0.5931332510921279, 3876.242913650387, 3882.327128954582, 6126.01632828052, 6129.1864831025105, 6138.422304889301, 7059.573399767672]" "[0.0013219188719333901, -34.910281699839295, 377.7435328966051, 143.3064188458889, -31.506232824924652, -69.73254020372337, 43.27562828540497]"
158130 1 [0.22507634597938667] "[0.22507634597938667, 1799.9163035781096, 2357.1277161981125, 3161.7130121553464, 3300.6167748368903, 3415.537656768248, 3450.8797526479298]" "[-0.001323336955080471, -227.0093910897932, 753.9463626434841, 493.59023078140996, 932.6276577863134, -310.57834424337364, 778.154421505902]"
158829 2 "[0.23770094499918695, 15.842503448986843]" "[0.23770094499918695, 15.842503448986843, 1997.5167817020017, 2533.0122177246685, 3124.8492250313157, 3178.6531853368774, 3710.4639201236646]" "[468.5248735037827, -123.93151742657186, -612.354456652186, -105.3477335425234, -0.0009086498236824855, -418.56043533634306, 658.9461167349004]"
159133 6 "[289.1686649902262, 165.35978043749054, 272.1979200681089, 0.08469110542404534, 195.65835231567667, 262.14245583194787]" "[0.08469110542404534, 165.35978043749054, 195.65835231567667, 262.14245583194787, 272.1979200681089, 289.1686649902262, 336.16644072817365]" "[-99.23363516527039, -122.53595792612802, -141.18451701842616, -0.0002497546188212683, 371.79492701743175, 42.771490341011464, 15.463155994091213]"
159490 2 "[0.21535384657100287, 271.59537848671033]" "[0.21535384657100287, 271.59537848671033, 322.69251652325664, 349.9835555440018, 1752.7566261631207, 2041.965219834632, 3187.9306986062247]" "[-19.420461629739105, -463.49695311089425, -637.5903766073492, -0.0013009220567336652, -944.4149026910271, -850.8035586308744, -272.6111152826753]"
160280 0 [] "[749.5441414895964, 754.5789117771287, 1155.053756287597, 1424.4154646634272, 2002.3223529129527, 2640.9613587938125, 2793.755515791922]" "[643.3685406979287, 607.1927037044132, -671.6798681642746, 92.81947587725169, -265.4544345796441, 466.06762757917886, 596.8197358729803]"
160312 0 [] "[317.2695738336165, 588.4253687150011, 710.3967402058563, 751.8834778883606, 753.0836820691785, 781.2354970026184, 896.6972558279291]" "[-753.4663114272857, -805.0899187744164, -219.44609284963258, 276.54884485758294, 582.1940154255425, -203.15401116090067, 572.5670793029165]"
162129 2 "[0.04905942078717864, 161.17086130963605]" "[0.04905942078717864, 161.17086130963605, 373.9547030269318, 790.1697387030149, 967.6691798506956, 986.3364230660635, 1090.9513929999948]" "[246.42707577614942, -952.5575616698368, -0.00015268437107028714, -278.63629504008134, -305.74360287864044, 227.6914051968948, 346.77950875001113]"
163457 1 [0.18505951457733025] "[0.18505951457733025, 1346.9252641752373, 2682.579618454396, 3403.546717168358, 3711.7820965258447, 3834.3663015965885, 3897.9863805680006]" "[-30.81106820335645, -724.4820724656547, -332.8332943650748, -679.264509851631, -0.0004053552116823496, 81.27237834731083, -836.1232606979277]"
163551 1 [0.06122994010334728] "[0.06122994010334728, 801.599113733335, 1599.5959829795843, 4041.458436168749, 5320.687382252693, 5465.8103298002925, 5702.0696823304725]" "[120.76253588613518, 194.21315478554018, 894.1025790398086, 435.67726211741217, -309.7379653970336, 921.7816956132615, -0.0007885699903080314]"
163558 1 [0.17366813816167917] "[0.17366813816167917, 810.4279433221383, 2425.1636901567726, 4197.897082922844, 4776.740097509046, 5349.933426874869, 5563.010599617261]" "[-712.3472988515099, 0.0013016654054283589, -127.7979505833586, -884.5376714021464, 985.3885730941097, 532.3462993400494, 839.2333670041064]"
164005 3 "[0.7426461479470515, 26.472069245150045, 290.0039190199733]" "[0.7426461479470515, 26.472069245150045, 290.0039190199733, 306.423930941766, 359.68731069357466, 806.894883955166, 1014.5635543035194]" "[990.3601799615908, 554.9993044318248, 506.3106841067661, 640.1451988621045, 548.6491003954847, 538.9484545531262, 0.0008528927554118598]"
164029 2 "[27.633141541123585, 0.7353566311073833]" "[0.7353566311073833, 27.633141541123585, 311.1972834542265, 337.4649258091017, 353.8963856868223, 844.2242393467318, 1001.0083995903183]" "[48.68881588936213, 484.0496914191282, -506.3096356497073, 32.63796601066355, 42.338611853022016, 133.83471031964186, 0.0001955643034366623]"
164039 3 "[271.4931007096593, 0.20571548887967847, 71.5672713267026]" "[0.20571548887967847, 71.5672713267026, 271.4931007096593, 310.8352582012928, 370.61622019190906, 668.036065882251, 788.8156660583727]" "[-165.86128124810787, 27.49494900508193, 339.55733244550197, -197.71728193973036, -128.87910459327728, -0.0010100829753467004, -86.50048300288648]"
164256 3 "[0.05909094343037892, 88.02537278080563, 128.88689099834434]" "[0.05909094343037892, 88.02537278080563, 128.88689099834434, 413.2314774415086, 432.718213592937, 607.345081800801, 749.8456927420558]" "[14.733233343860778, 548.2553529063525, -246.5699567353812, 0.00022390886274317747, -89.39179710357757, 344.9818149073484, -441.4137831504431]"
165059 5 "[257.1056607985372, 291.3866351722486, 167.20191877774016, 0.03343917248022355, 70.09666535117654]" "[0.03343917248022355, 70.09666535117654, 167.20191877774016, 257.1056607985372, 291.3866351722486, 315.07606015408146, 326.7816867418474]" "[-6.0325823231690834e-05, -198.42885947332482, 294.75617437257665, -386.27696339742045, 937.270399512716, -729.6816131192068, 913.9803617051472]"
165460 3 "[0.10510336416673519, 8.57544698628249, 151.61795328134465]" "[0.10510336416673519, 8.57544698628249, 151.61795328134465, 349.5722306999434, 463.3656698143752, 680.550041665921, 744.5020059306851]" "[-131.88006114792609, -426.9378356088676, -847.02069650319, 2.9220568305003552e-05, 935.0055903982392, -51.1545162737199, 304.37426553011153]"
166236 2 "[0.7402807367416782, 265.4514526158924]" "[0.7402807367416782, 265.4514526158924, 432.64606986106037, 458.1288283507748, 1078.3339925717871, 1839.4301203432176, 2074.741308579195]" "[-0.0005615619205930556, -307.77884674637846, -508.5641232974463, 210.726592641539, -96.58933157368833, 223.8982961949325, -1.407747120448301]"
166591 2 "[185.64146837796025, 0.3229501151732171]" "[0.3229501151732171, 185.64146837796025, 452.04626907173076, 1228.273337662288, 1488.4950939378184, 3302.9378860416687, 4420.782364693457]" "[363.1255053122869, -71.95840036151498, 54.33985395815284, 730.2981892059674, 781.2293719131877, 0.00015512027652311188, -701.8861324503788]"
167619 0 [] "[644.0409295486571, 2877.901800649919, 3034.4901087672033, 3201.022998035767, 3365.5150939949685, 3780.0195815891484, 3780.7533831386786]" "[630.0527346245921, 536.9685267419195, -423.4892240221375, -70.12259399712323, -766.377905705797, 777.9635722209489, 926.7231884081638]"
168216 2 "[123.867033572789, 55.02701935603437]" "[55.02701935603437, 123.867033572789, 1401.6163968314463, 1419.068432860414, 1419.8711472290252, 1464.8154757312564, 1577.978658347379]" "[-171.88095612277203, 769.3296232796449, -225.96825501126162, 369.92568921206777, 691.7423255637425, 968.0398595388519, 402.9409427685726]"
169104 2 "[246.23200348899806, 0.6545953167859995]" "[0.6545953167859995, 246.23200348899806, 394.6127875136755, 415.12312584631854, 586.2697616684156, 1083.246995521899, 1319.7460716817795]" "[-0.0010984560142465727, 476.8516483994831, 102.79492340837017, 803.1623440269639, 963.2732570529688, 909.6572536451924, 194.88740051646127]"
169518 2 "[0.11129074861112948, 17.174286774709913]" "[0.11129074861112948, 17.174286774709913, 1325.2406350674207, 1437.5193715552502, 1549.1634780414577, 1577.7213429515468, 1596.6756679316545]" "[615.7163152600234, -517.4410752091849, -177.95644240043995, -269.1107958028459, 117.32022759182811, -0.0010763155811899048, -269.0192170601481]"
