plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
8314-6104,1-458092,9.758266364,42.0219256,1.27982235,3.638297319,3.062533948,9.235941239,41.49881839,1.270966649,3.926061392,0.924222553,8.502971649,40.8275098,1.267473459,3.961449862,0.196742978
8611-3701,1-458027,10.41106182,38.66562624,1.840771437,-0.870768487,0.002345154,10.14183627,38.42196596,1.893124938,-1.673998237,0.001191768,9.719511006,38.14947953,1.901689291,-1.888379097,0.000426812
8611-3702,1-458105,10.69253742,39.46968743,1.672555923,1.4671911,0.076391655,10.45412532,39.1782214,1.677461863,1.33253026,0.04612176,10.18260709,38.88031438,1.695288658,1.170897484,0.023406869
8611-3703,1-457815,9.640056011,39.77700422,1.381007195,5.009132385,0.132284247,9.19723945,39.4757279,1.348476768,4.668473244,0.060610745,8.815479108,39.15989037,1.337995529,4.525752544,0.027518839
8611-12705,1-626395,9.606980414,39.690444,1.236026764,6.259099483,0.098744411,9.192936423,39.0289449,1.274461865,6.148182869,0.028686827,8.854946777,38.57747016,1.289551258,6.010835171,0.011004496
8611-1902,1-457523,11.27338349,39.38771223,1.841745853,-0.395743519,0.031968575,11.02639506,39.15313219,2.012911558,-1.734741092,0.011916134,10.71098989,38.85668408,2.061375618,-2.135688305,0.005494321
8611-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8611-6104,1-457813,10.2275375,38.67201127,1.961895704,-1.473549604,0.00131236,9.901866442,38.34835712,1.976215959,-1.338155985,0.000781367,9.579950913,38.00081922,1.976293683,-1.338155985,0.000387291
8611-12701,1-457843,9.140565281,39.57588729,1.193315864,6.318649769,0.03299831,8.625086506,38.87432976,1.229247332,5.925411224,0.007785068,8.231504322,38.35030574,1.253795505,6.005223274,0.002515392
8611-1901,1-626502,10.59890354,39.52284111,1.478016973,4.134190559,0.111099798,10.3452063,39.34144051,1.456259608,4.022921085,0.074420285,10.10982318,39.12171849,1.455954075,3.886073112,0.045110603
8611-12702,1-395528,9.443266301,nan,1.305082917,5.919445038,nan,9.074300673,nan,1.352662802,5.121673584,nan,8.79751336,38.66716084,1.360514998,4.602129936,0.014964855
8611-6103,1-458044,9.624970697,39.13002363,1.476872563,2.843735218,0.047760653,9.2806411,38.55803359,1.630014181,1.113560438,0.010524732,8.84858815,38.04265767,1.687440991,0.644225121,0.002789465
8611-6101,1-626533,10.55745356,39.65062691,1.547564983,2.410871983,0.267951761,10.33702602,39.3791279,1.564806461,1.836554646,0.157173271,10.11305,39.10348201,1.642588615,0.97040695,0.065918207
8611-9101,1-457932,11.03614957,39.1427741,2.164260864,-3.095850945,0.008982377,10.68395917,38.78177982,2.164892673,-3.124855995,0.004243302,10.30273801,38.40900996,2.164892673,-3.13335824,0.001860924
8611-6102,1-457547,9.795429783,39.45766666,1.508706093,2.214123487,0.056322121,9.369848343,38.90902771,1.579650998,1.555087805,0.015351555,9.073161679,38.57509537,1.588379383,1.294748068,0.007020891
