MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
1-608154,10519-12701,1-608154,10.75240062,39.23586323,1.390319586,4.6436553,0.128904026,10.5527273,38.91356672,1.467929125,3.143882751,0.060672367,10.27517898,38.59796485,1.516758442,2.345364809,0.028645064
1-608172,10846-6104,1-608172,10.8560788,40.16363129,1.492528796,2.499349833,0.130571668,10.60963928,40.04283643,1.582012653,1.857467175,0.067272902,10.28782367,39.78358263,1.629509211,1.626278877,0.031445946
1-608252,8454-12703,1-608252,10.72898695,40.88050064,1.237062454,5.75750351,2.754806209,10.33903185,39.78031313,1.319844246,4.58457756,0.437625991,10.06524085,39.31619668,1.367511511,4.235009193,0.188421521
1-60834,11866-12703,1-60834,10.00298398,41.3739279,1.358744502,5.410886288,10.52043762,9.646166172,40.71944078,1.416720152,4.052492142,3.095521218,9.261049984,40.32166864,1.423070312,3.022102833,1.239627808
1-608586,8568-12704,1-608586,11.17919257,39.34923631,1.909150004,-1.234918356,0.032910278,10.91300676,39.0598092,1.904709101,-1.479070306,0.020333327,10.61862401,38.72611597,1.900075674,-1.477413654,0.010874525
1-608874,8452-3701,1-608874,10.87705322,39.50374111,1.883159637,-1.741439939,0.008655163,10.64011594,39.34050361,1.927944779,-1.921042204,0.003750649,10.39074878,39.10154436,1.943055987,-2.062511921,0.001850571
1-609044,11838-1902,1-609044,10.54664211,39.81799832,1.382993817,4.601760864,0.676849417,10.22000938,39.53949878,1.386063218,4.709006786,0.307347366,9.84277176,39.19659373,1.391702771,4.777815342,0.126878534
1-609067,11865-12705,1-609067,11.73468954,38.76277746,1.700022817,1.518421412,0.014969502,11.37947181,38.53519292,1.652879238,1.45425868,0.009626181,11.20664492,38.42464817,1.732866049,0.586387694,0.005826336
1-60931,11838-6103,1-60931,10.28615677,40.67168966,1.239319324,6.040065289,1.309686156,9.952220358,40.44840385,1.23908174,5.183693886,0.795354405,9.647528045,40.20492307,1.198677778,4.666808605,0.469917937
1-609412,8452-12705,1-609412,10.30984589,40.29191454,1.308920145,5.908215046,0.712860671,10.02332939,39.55575549,1.383770227,4.340230465,0.18779004,9.758362686,39.03612948,1.469987988,2.120343685,0.037991305
1-609414,8943-12705,1-609414,11.63997236,39.21071178,1.774594784,-0.451852292,0.005743084,11.55263774,39.04825122,1.818918347,-1.103928447,0.003435928,11.40419308,38.88877529,1.881291389,-1.632265925,0.001882154
